202103010101,福島,障害３歳以上,未勝利,障2750m,ペースデータなし,判定不能,良,14頭,"{'馬番4': {'コーナー通過順': ['3', '2', '1', '1'], '脚質': '先行', '人気': '6'}}",
202103010102,福島,サラ系３歳,未勝利,ダ1700m,30.3,M,稍,14頭,"{'馬番14': {'コーナー通過順': ['10', '10', '8', '4'], '脚質': '後方', '人気': '6'}}",
202103010103,福島,サラ系３歳,未勝利,ダ1700m,30.9,M,稍,15頭,"{'馬番11': {'コーナー通過順': ['1', '1', '1', '1'], '脚質': '逃げ', '人気': '7'}}","{'馬番10': {'コーナー通過順': ['1', '1', '1', '1'], '脚質': '逃げ', '人気': '6'}}"
202103010104,福島,障害３歳以上,オープン,障2750m,ペースデータなし,判定不能,良,12頭,,
202103010105,福島,サラ系２歳,新馬,芝1200m,34.3,M,良,13頭,"{'馬番4': {'コーナー通過順': ['8', '7'], '脚質': '後方', '人気': '6'}}",
202103010106,福島,サラ系２歳,新馬,ダ1150m,32.7,M,稍,15頭,"{'馬番12': {'コーナー通過順': ['1', '1'], '脚質': '逃げ', '人気': '6'}}",
202103010107,福島,サラ系３歳,未勝利,芝2000m,35.9,S,良,16頭,"{'馬番10': {'コーナー通過順': ['3', '3', '3', '1'], '脚質': '先行', '人気': '12'}}",
202103010108,福島,サラ系３歳以上,１勝クラス,ダ1700m,30.4,M,稍,8頭,,
202103010109,福島,サラ系３歳以上,１勝クラス,芝2600m,38.2,S,良,10頭,,
202103010110,福島,サラ系３歳以上,２勝クラス,芝1800m,35.3,M,良,13頭,"{'馬番12': {'コーナー通過順': ['11', '11', '10', '9'], '脚質': '後方', '人気': '11'}}",
202103010111,福島,サラ系３歳以上,３勝クラス,芝1200m,33.0,H,良,16頭,,
202103010112,福島,サラ系３歳以上,１勝クラス,ダ1150m,31.0,H,稍,16頭,"{'馬番2': {'コーナー通過順': ['1', '1'], '脚質': '逃げ', '人気': '13'}}",
