202103010207,ダ1700m,1回,2日目,未勝利,馬齢,15頭,
202103010209,ダ1700m,1回,2日目,２勝クラス,混,定量,15頭
202103010212,ダ1700m,1回,2日目,１勝クラス,混,定量,15頭
