202110030101,小倉,サラ系２歳,未勝利,芝1200m,33.2,H,良,7頭,,,
202110030102,小倉,サラ系３歳,未勝利,ダ1700m,29.8,H,良,16頭,,,
202110030103,小倉,サラ系３歳,未勝利,芝1800m,35.4,M,良,16頭,"{'馬番2': {'コーナー通過順': ['4', '3', '5', '4'], '脚質': '先行', '人気': '8'}}","{'馬番9': {'コーナー通過順': ['4', '5', '5', '6'], '脚質': '先行', '人気': '6'}}",
202110030104,小倉,サラ系３歳,未勝利,ダ1700m,30.2,M,良,16頭,,,
202110030105,小倉,サラ系２歳,新馬,芝1200m,34.5,M,良,16頭,,,
202110030106,小倉,サラ系２歳,新馬,ダ1000m,35.4,H,良,9頭,,,
202110030107,小倉,サラ系３歳,未勝利,芝2000m,33.8,M,良,18頭,"{'馬番15': {'コーナー通過順': ['14', '15', '6', '5'], '脚質': '後方', '人気': '8'}}",,
202110030108,小倉,サラ系３歳以上,１勝クラス,芝2000m,34.4,M,良,7頭,,,
202110030109,小倉,サラ系３歳以上,１勝クラス,ダ1000m,34.1,H,稍,14頭,"{'馬番12': {'コーナー通過順': ['4', '4'], '脚質': '先行', '人気': '7'}}",,
202110030110,小倉,サラ系３歳以上,２勝クラス,芝1200m,32.3,H,良,11頭,"{'馬番3': {'コーナー通過順': ['11', '11'], '脚質': '後方', '人気': '8'}}",,
202110030111,小倉,サラ系３歳以上,３勝クラス,ダ1700m,29.6,H,稍,16頭,"{'馬番12': {'コーナー通過順': ['11', '9', '10', '9'], '脚質': '後方', '人気': '6'}}","{'馬番10': {'コーナー通過順': ['1', '4', '4', '4'], '脚質': '逃げ', '人気': '9'}}","{'馬番2': {'コーナー通過順': ['1', '2', '1', '1'], '脚質': '逃げ', '人気': '7'}}"
202110030112,小倉,サラ系３歳以上,１勝クラス,芝1200m,32.4,H,良,14頭,"{'馬番5': {'コーナー通過順': ['9', '8'], '脚質': '後方', '人気': '7'}}","{'馬番13': {'コーナー通過順': ['4', '3'], '脚質': '先行', '人気': '9'}}",
