202109030101,阪神,障害３歳以上,未勝利,障2970m,ペースデータなし,判定不能,重,12頭,"{'馬番7': {'コーナー通過順': ['8', '7', '2', '1'], '脚質': '後方', '人気': '7'}}","{'馬番1': {'コーナー通過順': ['1', '1', '1', '1'], '脚質': '逃げ', '人気': '6'}}"
202109030102,阪神,サラ系３歳,未勝利,芝2400m,38.5,S,重,9頭,"{'馬番4': {'コーナー通過順': ['5', '5', '6', '6'], '脚質': '中団', '人気': '7'}}",
202109030103,阪神,サラ系３歳,未勝利,ダ1800m,35.9,H,不,15頭,"{'馬番4': {'コーナー通過順': ['4', '4', '4', '4'], '脚質': '先行', '人気': '6'}}",
202109030104,阪神,障害３歳以上,オープン,障3110m,ペースデータなし,判定不能,重,9頭,"{'馬番5': {'コーナー通過順': ['2', '4', '3', '2'], '脚質': '先行', '人気': '8'}}",
202109030105,阪神,サラ系２歳,新馬,ダ1200m,35.4,H,不,16頭,"{'馬番2': {'コーナー通過順': ['8', '9'], '脚質': '中団', '人気': '10'}}",
202109030106,阪神,サラ系３歳,未勝利,芝1800m,36.2,M,重,15頭,"{'馬番9': {'コーナー通過順': ['1', '1'], '脚質': '逃げ', '人気': '11'}}",
202109030107,阪神,サラ系３歳以上,１勝クラス,ダ1400m,34.3,H,不,16頭,"{'馬番13': {'コーナー通過順': ['9', '7'], '脚質': '中団', '人気': '8'}}",
202109030108,阪神,サラ系３歳以上,１勝クラス,芝2000m,37.3,S,重,8頭,,
202109030109,阪神,サラ系３歳以上,２勝クラス,芝1600m,36.1,M,重,7頭,,
202109030110,阪神,サラ系３歳以上,３勝クラス,ダ1800m,37.1,M,不,16頭,"{'馬番9': {'コーナー通過順': ['13', '13', '1', '1'], '脚質': '後方', '人気': '11'}}",
202109030111,阪神,サラ系３歳以上,オープン,芝1600m,35.4,M,重,16頭,,
202109030112,阪神,サラ系３歳以上,１勝クラス,芝1200m,34.9,M,重,13頭,,
