202107040301,中京,サラ系３歳,未勝利,ダ1800m,37.0,M,良,15頭,"{'馬番13': {'コーナー通過順': ['12', '11', '10', '9'], '脚質': '後方', '人気': '8'}}",
202107040302,中京,サラ系３歳,未勝利,ダ1200m,35.0,H,良,16頭,"{'馬番2': {'コーナー通過順': ['1', '1'], '脚質': '逃げ', '人気': '9'}}",
202107040303,中京,サラ系３歳,未勝利,ダ1900m,30.0,M,良,11頭,,
202107040304,中京,サラ系３歳,未勝利,芝2000m,36.2,M,良,15頭,,
202107040305,中京,サラ系２歳,新馬,芝1600m,37.2,S,良,10頭,,
202107040306,中京,サラ系３歳,未勝利,芝1200m,33.8,M,良,18頭,"{'馬番11': {'コーナー通過順': ['8', '9'], '脚質': '中団', '人気': '9'}}",
202107040307,中京,サラ系３歳以上,１勝クラス,ダ1200m,35.0,H,良,15頭,,
202107040308,中京,サラ系３歳以上,１勝クラス,芝2000m,37.8,S,良,7頭,,
202107040309,中京,サラ系３歳以上,１勝クラス,芝2200m,35.8,S,良,8頭,"{'馬番8': {'コーナー通過順': ['1', '1', '1', '1'], '脚質': '逃げ', '人気': '6'}}",
202107040310,中京,サラ系３歳以上,３勝クラス,ダ1400m,34.6,H,良,16頭,"{'馬番8': {'コーナー通過順': ['1', '1'], '脚質': '逃げ', '人気': '7'}}","{'馬番4': {'コーナー通過順': ['10', '11'], '脚質': '後方', '人気': '10'}}"
202107040311,中京,サラ系３歳以上,３勝クラス,芝1600m,35.5,M,良,11頭,"{'馬番10': {'コーナー通過順': ['2', '1', '1'], '脚質': '先行', '人気': '6'}}",
202107040312,中京,サラ系３歳以上,２勝クラス,ダ1800m,36.9,M,良,13頭,,
